scope,key,n,samples,samples_below,below_loq,loq_gt_30pct_eqs,below_loq_no_loq,no_loq_any,qc_loq_unknown,declared_and_bounded,declared_not_bounded,undeclared_but_bounded,silent,has_eqs,loq_gt_eqs,censored,censored_with_value
substance,Total cyanide,4390,19986,14482,3935,0,0,373,373,4017,0,0,373,0,0,3906,3901
substance,Isopropylbenzene,4376,37978,37356,4307,0,0,69,69,4304,0,3,69,0,0,4303,4303
substance,Propyzamide,4375,28982,17713,3992,0,0,358,358,4017,0,0,358,0,0,3927,3927
substance,Tebuconazole,4347,26428,24306,4322,0,0,0,0,4347,0,0,0,0,0,4036,4036
substance,Endosulfan,4341,33374,24525,3516,1605,0,791,791,3550,0,0,791,4341,797,3463,3209
substance,Alpha-Chlordan,4329,23561,23547,4329,0,0,0,0,4329,0,0,0,0,0,4328,4328
substance,Trans-chlordane,4329,23794,23745,4329,0,0,0,0,4329,0,0,0,0,0,4328,4328
substance,Terbumeton,4285,26814,22813,3836,0,0,449,449,3836,0,0,449,0,0,3834,3834
substance,Total nitrogen to total phosphorus ratio,4231,35655,0,0,0,0,4231,0,0,0,0,4231,0,0,0,0
substance,Ethoprophos,4185,24799,24789,4185,0,0,0,0,4185,0,0,0,0,0,4184,4184
substance,Ethion,4162,19527,19521,4162,0,0,0,0,4162,0,0,0,0,0,4159,4159
substance,Xylene,4161,20168,16879,3752,0,0,406,406,3755,0,0,406,0,0,3727,3453
substance,"trans-1,2-dichloroethene",4161,30720,30206,4085,0,0,69,69,4092,0,0,69,0,0,4061,4061
substance,Carbonate,4135,22642,22133,4050,0,0,0,0,4135,0,0,0,0,0,3916,3916
substance,Epsilon-HCH,4001,33986,32453,3882,0,0,112,112,3889,0,0,112,0,0,3859,3697
substance,Trichlorobenzenes (all isomers),3986,28121,18829,3120,0,0,860,860,3126,0,0,860,0,0,3045,2809
substance,Propiconazole,3954,39270,25933,3470,0,0,331,331,3618,0,5,331,0,0,3290,3290
substance,"cis-1,2-dichloroethene",3939,29956,27973,3756,0,0,138,138,3801,0,0,138,0,0,3671,3671
substance,"1,1-dichloroethene",3897,24573,23496,3737,0,0,152,152,3741,0,4,152,0,0,3702,3702
substance,Silver,3872,36784,31848,3719,3796,0,76,76,3793,0,3,76,3872,3369,3401,3401
substance,"1,2-dibromoethane",3869,29203,16918,3525,0,0,344,344,3517,0,8,344,0,0,3513,3513
substance,Acetochlor,3779,37954,26442,3456,0,0,266,266,3513,0,0,266,0,0,3253,3253
substance,Procymidone,3722,17321,17303,3722,0,0,0,0,3722,0,0,0,0,0,3719,3719
substance,"1,1,2-trichloroethane",3624,21629,20552,3472,0,0,150,150,3469,0,5,150,0,0,3452,3452
substance,Pirimiphos-methyl,3601,15897,15892,3600,0,0,0,0,3601,0,0,0,0,0,3599,3599
substance,Dicamba,3589,29887,21909,3377,0,0,198,198,3391,0,0,198,0,0,3253,3253
substance,Thiamethoxam,3540,20814,20200,3530,1294,0,1,1,3539,0,0,1,3540,111,3467,3467
